Project Name,Street Name,Property Type,Sale Date,Transacted Price ($),Unit Price ($ PSF),Area (SQFT),Postal District,Floor Level,Tenure,latitude,longitude,geocoded_address,price_level,psf_level
EAST VILLAGE,UPPER CHANGI ROAD,Retail,2025-12-01,2600000,12713.0,204.52,16,01 to 05,Freehold,1.3317758150305,103.946201241591,430 UPPER CHANGI ROAD EAST VILLAGE SINGAPORE 487048,1-3M,>7k PSF
FAR EAST PLAZA,SCOTTS ROAD,Retail,2025-12-01,2430000,5375.0,452.09,9,01 to 05,Freehold,1.30717698071189,103.833792932243,14 SCOTTS ROAD FAR EAST PLAZA SINGAPORE 228213,1-3M,4-7k PSF
FAR EAST PLAZA,SCOTTS ROAD,Retail,2025-12-01,2000000,5994.0,333.68,9,01 to 05,Freehold,1.30717698071189,103.833792932243,14 SCOTTS ROAD FAR EAST PLAZA SINGAPORE 228213,1-3M,4-7k PSF
FORTUNE CENTRE,MIDDLE ROAD,Retail,2025-12-01,1300000,3552.0,365.98,7,01 to 05,99 yrs lease commencing from 1980,1.30042241913975,103.852286627386,190 MIDDLE ROAD FORTUNE CENTRE SINGAPORE 188979,1-3M,2-4k PSF
GRANDLINK SQUARE,GUILLEMARD ROAD,Retail,2025-12-01,1360000,4512.0,301.39,14,01 to 05,Freehold,1.3141912983094,103.891500511011,511 GUILLEMARD ROAD GRANDLINK SQUARE SINGAPORE 399849,1-3M,4-7k PSF
HERITAGE PLACE,TAN QUEE LAN STREET,Retail,2025-12-01,14000000,4629.0,3024.68,7,01 to 05,999 yrs lease commencing from 1827,1.29858926583677,103.856405058091,21 TAN QUEE LAN STREET HERITAGE PLACE SINGAPORE 188108,>10M,4-7k PSF
HOLLAND ROAD SHOPPING CENTRE,HOLLAND AVENUE,Retail,2025-12-01,1750000,4645.0,376.74,10,01 to 05,Freehold,1.31027747574118,103.795371163103,211 HOLLAND AVENUE HOLLAND ROAD SHOPPING CENTRE SINGAPORE 278967,1-3M,4-7k PSF
ICON @ PASIR PANJANG,PASIR PANJANG ROAD,Retail,2025-12-01,1250000,2978.0,419.8,5,01 to 05,Freehold,1.27948670070186,103.785756186651,218 PASIR PANJANG ROAD ICON @ PASIR PANJANG SINGAPORE 118579,1-3M,2-4k PSF
KAMPONG GLAM CONSERVATION AREA,ARAB STREET,Shop House,2025-12-01,5320000,8102.0,656.6,7,-,199 yrs lease commencing from 2003,1.30183773068154,103.858845245064,100 ARAB STREET KAMPONG GLAM CONSERVATION AREA SINGAPORE 199796,3-10M,>7k PSF
KAP,KING ALBERT PARK,Retail,2025-12-01,2500000,3519.0,710.42,21,01 to 05,Freehold,1.3369739915192,103.779316558394,9 KING ALBERT PARK EAGLEWINGS CINEMATICS @ KAP SINGAPORE 598332,1-3M,2-4k PSF
KAP,KING ALBERT PARK,Retail,2025-12-01,2580000,3745.0,688.9,21,01 to 05,Freehold,1.3369739915192,103.779316558394,9 KING ALBERT PARK EAGLEWINGS CINEMATICS @ KAP SINGAPORE 598332,1-3M,2-4k PSF
LUCKY PLAZA,ORCHARD ROAD,Retail,2025-12-01,1184000,5500.0,215.28,9,01 to 05,Freehold,1.30450604646634,103.833962339817,304 ORCHARD ROAD LUCKY PLAZA SINGAPORE 238863,1-3M,4-7k PSF
OXLEY TOWER,ROBINSON ROAD,Retail,2025-12-01,560000,3060.0,182.99,1,01 to 05,Freehold,1.27870608494088,103.848418970551,138 ROBINSON ROAD OXLEY TOWER SINGAPORE 068906,<1M,2-4k PSF
PEOPLE'S PARK CENTRE,UPPER CROSS STREET,Retail,2025-12-01,830000,2570.0,322.92,1,01 to 05,99 yrs lease commencing from 1970,1.28577009981805,103.843980122838,101 UPPER CROSS STREET PEOPLE'S PARK CENTRE SINGAPORE 058357,<1M,2-4k PSF
QUEENSWAY SHOPPING CENTRE,QUEENSWAY,Retail,2025-12-01,403800,3410.0,118.4,3,01 to 05,Freehold,1.28759518939869,103.803397287789,1 QUEENSWAY QUEENSWAY SHOPPING CENTRE SINGAPORE 149053,<1M,2-4k PSF
SIM LIM SQUARE,ROCHOR CANAL ROAD,Retail,2025-12-01,1200000,3982.0,301.39,7,01 to 05,99 yrs lease commencing from 1983,1.3030242605718,103.853037814067,1 ROCHOR CANAL ROAD SIM LIM SQUARE SINGAPORE 188504,1-3M,2-4k PSF
SUITES AT BUKIT TIMAH,JALAN JURONG KECHIL,Retail,2025-12-01,520000,4831.0,107.64,21,01 to 05,Freehold,1.34054847886549,103.773649129593,68 JALAN JURONG KECHIL SUITES AT BUKIT TIMAH SINGAPORE 596180,<1M,4-7k PSF
SULTAN PLAZA,JALAN SULTAN,Retail,2025-12-01,1390000,2348.0,592.02,7,01 to 05,99 yrs lease commencing from 1978,1.30294528666428,103.861851786605,100 JALAN SULTAN GOLDEN SULTAN PLAZA SINGAPORE 199001,1-3M,2-4k PSF
THE COMMERZE@IRVING,IRVING PLACE,Retail,2025-12-01,550000,1345.0,409.03,13,01 to 05,60 yrs lease commencing from 2011,1.33623678708616,103.88643382511,1 IRVING PLACE THE COMMERZE@IRVING SINGAPORE 369546,<1M,<2k PSF
VISIONCREST,PENANG ROAD,Retail,2025-12-01,950000,5884.0,161.46,9,01 to 05,Freehold,1.29910790069205,103.842700035576,103 PENANG ROAD VISIONCREST SINGAPORE 238467,<1M,4-7k PSF
WISMA ATRIA,ORCHARD ROAD,Retail,2025-12-01,4132800,2400.0,1722.24,9,11 to 15,99 yrs lease commencing from 1962,1.30370477426147,103.833205752808,435 ORCHARD ROAD WISMA ATRIA SINGAPORE 238877,3-10M,2-4k PSF
WISMA ATRIA,ORCHARD ROAD,Retail,2025-12-01,2299200,2400.0,958.0,9,11 to 15,99 yrs lease commencing from 1962,1.30370477426147,103.833205752808,435 ORCHARD ROAD WISMA ATRIA SINGAPORE 238877,1-3M,2-4k PSF
